상호명,시군구명,위도,경도,is_starbucks,projected_cluster
이대ECC,서대문구,37.561631,126.94735,1,4
연대,서대문구,37.558706,126.936727,1,1
충정로역,서대문구,37.56137,126.963219,1,2
연대동문,서대문구,37.56648507,126.9463253,1,4
신촌명물거리,서대문구,37.55776843,126.9381545,1,1
충정타워,서대문구,37.559869,126.96411,1,2
명지대,서대문구,37.5790409,126.9227886,1,4
이대역,서대문구,37.5570246,126.9463066,1,1
신촌로,서대문구,37.55580883,126.9382863,1,1
북가좌DT,서대문구,37.580758,126.911478,1,2
연세암병원,서대문구,37.56046655,126.9374534,1,2
연희동,서대문구,37.56545506,126.9295527,1,4
현대신촌,서대문구,37.55592458,126.9356945,1,1
방배로,서초구,37.4793434,126.9994968,1,2
강남교보타워R,서초구,37.50371078,127.0243353,1,1
방배다이치빌딩,서초구,37.48431,126.996075,1,2
센트럴F1,서초구,37.505148,127.004395,1,1
서초역이화빌딩,서초구,37.488356,127.009058,1,1
서초구청,서초구,37.48435384,127.0300905,1,1
서초우성사거리,서초구,37.493545,127.02943,1,3
이수역사거리,서초구,37.48585,126.983027,1,1
강남대로신사,서초구,37.51489,127.019469,1,1
서울고속터미널,서초구,37.5045697,127.0061603,1,1
방배,서초구,37.491914,126.9904974,1,4
방배카페거리,서초구,37.4934767,126.9865297,1,4
서초법원,서초구,37.492881,127.01208,1,3
청계산입구역,서초구,37.447323,127.05625,1,2
사당로데오,서초구,37.4772752,126.9821605,1,1
파미에파크R,서초구,37.5030521,127.004362,1,1
양재역,서초구,37.48237953,127.0368534,1,1
논현역,서초구,37.51143761,127.0205487,1,1
이수역,서초구,37.4864664,126.9827403,1,1
내방역,서초구,37.490004,126.992455,1,2
서초파라곤,서초구,37.49494259,127.0274263,1,3
서울아트센터,서초구,37.480866,127.012368,1,4
서초중앙로,서초구,37.501691,127.01152,1,2
센트럴시티,서초구,37.504707,127.004459,1,1
방배역,서초구,37.48200755,126.9976438,1,2
반포역,서초구,37.508589,127.011959,1,2
남부터미널,서초구,37.48467334,127.0169464,1,1
뉴코아강남,서초구,37.51031339,127.0069582,1,2
강남서초초교,서초구,37.5000875,127.0254909,1,3
교대,서초구,37.4923611,127.0142207,1,1
하이브랜드,서초구,37.46252023,127.036668,1,4
영동2교,서초구,37.48203954,127.0425748,1,4
남부터미널역5번출구,서초구,37.48436736,127.0142192,1,1
서래마을입구,서초구,37.49925284,126.9984801,1,4
몬테소리,서초구,37.4982695,127.026865,1,3
서초역,서초구,37.49067495,127.0086118,1,1
교대법원,서초구,37.496329,127.013336,1,1
강남GT타워,서초구,37.49790791,127.0261626,1,3
서초동,서초구,37.485941,127.021525,1,2
서울교대,서초구,37.4874556,127.0152554,1,1
강남에비뉴,서초구,37.50257781,127.0241059,1,1
서초우면,서초구,37.46404761,127.0250244,1,4
강남역7번출구,서초구,37.49706068,127.0274118,1,3
반포자이,서초구,37.50717048,127.0099189,1,2
서초태우빌딩,서초구,37.48870505,127.0315812,1,1
교대역3번출구,서초구,37.49434566,127.0149005,1,1
반포원베일리,서초구,37.50465708,126.999033,1,2
양재역신분당역사,서초구,37.48393473,127.0345442,1,1
강남역우송빌딩,서초구,37.49813146,127.0252791,1,3
남부순환로방배DT,서초구,37.4732569,126.9960094,1,4
양재하나로마트,서초구,37.462361,127.043181,1,4
신논현역,서초구,37.50437552,127.0231025,1,1
강남역5번출구호정빌딩,서초구,37.49454216,127.0282986,1,3
서이초교사거리,서초구,37.4918146,127.0252252,1,4
동작대로,서초구,37.4829998,126.9823669,1,1
강남르피에드,서초구,37.49567462,127.0251613,1,3
대륭서초타워,서초구,37.49207973,127.0300193,1,1
뉴코아강남B1,서초구,37.509145,127.007562,1,2
서울웨이브아트센터,서초구,37.518807,127.00704,1,4
길음역,성북구,37.602139,127.025271,1,2
미아이마트,성북구,37.61054299,127.0299876,1,2
종암DT,성북구,37.5919525,127.0360401,1,2
미아,성북구,37.607581,127.029303,1,4
성신여대정문,성북구,37.59091,127.0188,1,1
종암,성북구,37.601095,127.033847,1,4
삼선교,성북구,37.588696,127.0073207,1,2
월곡역,성북구,37.60203,127.040643,1,2
고대,성북구,37.583925,127.029594,1,2
현대미아,성북구,37.60851371,127.029177,1,4
성신여대,성북구,37.593135,127.018379,1,1
안암역,성북구,37.586319,127.030556,1,2
한성대입구역,성북구,37.58904121,127.004898,1,2
길음뉴타운,성북구,37.603633,127.023459,1,2
고대안암병원,성북구,37.586874,127.02811,1,2
장위뉴타운,성북구,37.61807232,127.0515285,1,4
성신여대입구역,성북구,37.593036,127.01665,1,1
송파나루역DT,송파구,37.510976,127.110358,1,1
송파헬리오시티,송파구,37.49778269,127.102852,1,4
잠실시그마타워,송파구,37.51461,127.102774,1,1
문정법원로R,송파구,37.48735627,127.1191198,1,1
송파개롱역,송파구,37.49713613,127.136313,1,2
문정하비오,송파구,37.48211913,127.1235407,1,1
문정역,송파구,37.4852965,127.1222768,1,1
잠실대교남단R,송파구,37.515511,127.099006,1,1
송파위례,송파구,37.478416,127.143161,1,4
송파방이DT,송파구,37.506564,127.120495,1,4
올림픽평화의문,송파구,37.5156426,127.1164819,1,2
송파아이파크,송파구,37.47979344,127.1224204,1,1
송파사거리,송파구,37.5022788,127.1103904,1,2
석촌서호,송파구,37.5063929,127.0964684,1,2
문정로데오,송파구,37.49185843,127.126231,1,2
올림픽훼미리,송파구,37.49161638,127.1162657,1,2
올림픽공원남문,송파구,37.5133,127.123113,1,4
방이역,송파구,37.50849041,127.1267765,1,2
석촌호수,송파구,37.50957859,127.1053264,1,2
잠실푸르지오월드,송파구,37.517287,127.103247,1,1
잠실새내역,송파구,37.511679,127.081062,1,2
잠실역,송파구,37.515272,127.099231,1,1
갤러리아팰리스,송파구,37.511561,127.093616,1,4
아시아선수촌,송파구,37.51059,127.079047,1,2
올림픽아파트,송파구,37.515315,127.133237,1,2
가락본동,송파구,37.49481239,127.1188348,1,2
석촌역,송파구,37.50442906,127.1062992,1,2
가락시장역,송파구,37.49442876,127.1217432,1,2
