dataset,label,transform,feature_a,feature_b,pearson_r,abs_r,strong_pair
all,전체,transformed,avg_income,num_offices,0.518376,0.518376,False
all,전체,raw,num_restaurants_500m,land_price,0.518356,0.518356,False
all,전체,raw,subway_evening_peak_500m,independent_cafe_count_500m,0.518096,0.518096,False
non_starbucks,비스타벅스,transformed,avg_income,num_offices,0.51794,0.51794,False
starbucks,스타벅스,raw,num_retail_500m,low_price_cafe_count_500m,0.517821,0.517821,False
non_starbucks,비스타벅스,raw,num_restaurants_500m,land_price,0.517328,0.517328,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,num_convenience_500m,0.51726,0.51726,False
all,전체,raw,subway_morning_peak_500m,num_convenience_500m,0.516751,0.516751,False
starbucks,스타벅스,raw,dist_nearest_subway,num_subway_500m,-0.516562,0.516562,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,num_convenience_500m,0.516354,0.516354,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,num_convenience_500m,0.516262,0.516262,False
starbucks,스타벅스,raw,num_restaurants_500m,dist_nearest_starbucks,-0.515652,0.515652,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,independent_cafe_count_500m,0.515578,0.515578,False
all,전체,transformed,subway_lunch_peak_500m,other_franchise_cafe_count_500m,0.514429,0.514429,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,dist_nearest_starbucks,-0.514086,0.514086,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,other_franchise_cafe_count_500m,0.513899,0.513899,False
all,전체,transformed,nearest_subway_ridership,subway_evening_peak_500m,0.513244,0.513244,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,num_convenience_500m,0.513156,0.513156,False
all,전체,transformed,subway_lunch_peak_500m,num_convenience_500m,0.513113,0.513113,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,num_restaurants_500m,0.513043,0.513043,False
starbucks,스타벅스,raw,independent_cafe_count_500m,dist_nearest_starbucks,-0.512556,0.512556,False
all,전체,transformed,nearest_subway_ridership,independent_cafe_count_500m,0.512214,0.512214,False
starbucks,스타벅스,raw,subway_evening_peak_500m,num_convenience_500m,0.510391,0.510391,False
all,전체,raw,subway_morning_peak_500m,num_restaurants_500m,0.509961,0.509961,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,independent_cafe_count_500m,0.509935,0.509935,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,subway_evening_peak_500m,0.509885,0.509885,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,num_restaurants_500m,0.508655,0.508655,False
non_starbucks,비스타벅스,transformed,num_convenience_500m,land_price,0.508281,0.508281,False
starbucks,스타벅스,raw,subway_evening_peak_500m,other_franchise_cafe_count_500m,0.507926,0.507926,False
all,전체,transformed,nearest_subway_ridership,num_retail_500m,0.507919,0.507919,False
starbucks,스타벅스,raw,subway_morning_peak_500m,other_franchise_cafe_count_500m,0.507514,0.507514,False
all,전체,transformed,num_convenience_500m,land_price,0.507115,0.507115,False
non_starbucks,비스타벅스,transformed,num_retail_500m,land_price,0.507045,0.507045,False
all,전체,transformed,num_retail_500m,land_price,0.506899,0.506899,False
all,전체,transformed,subway_evening_peak_500m,independent_cafe_count_500m,0.506531,0.506531,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,num_retail_500m,0.505774,0.505774,False
non_starbucks,비스타벅스,raw,num_retail_500m,other_franchise_cafe_count_500m,0.504683,0.504683,False
starbucks,스타벅스,raw,subway_morning_peak_500m,num_convenience_500m,0.504656,0.504656,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,other_franchise_cafe_count_500m,0.504456,0.504456,False
all,전체,raw,num_retail_500m,other_franchise_cafe_count_500m,0.504451,0.504451,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,independent_cafe_count_500m,0.504161,0.504161,False
all,전체,raw,nearest_subway_ridership,num_convenience_500m,0.504157,0.504157,False
starbucks,스타벅스,transformed,independent_cafe_count_500m,num_offices,0.503467,0.503467,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,num_convenience_500m,0.503214,0.503214,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,num_convenience_500m,0.5018,0.5018,False
starbucks,스타벅스,transformed,other_franchise_cafe_count_500m,dist_nearest_starbucks,-0.501487,0.501487,False
all,전체,raw,subway_lunch_peak_500m,other_franchise_cafe_count_500m,0.498901,0.498901,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,num_retail_500m,0.498572,0.498572,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,other_franchise_cafe_count_500m,0.498173,0.498173,False
