feature,lower_bound,upper_bound,outlier_count,outlier_rate,outlier_direction,상호명,시군구명,도로명주소,value
num_subway_500m,1.0,1.0,233,0.3421,high,용산리첸시아,용산구,"서울특별시 용산구 백범로 341 (원효로1가, 리첸시아 용산)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,서울역사,용산구,서울특별시 용산구 한강대로 405 (동자동) 신-101호,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,용산해링턴스퀘어,용산구,서울특별시 용산구 서빙고로 17 (한강로3가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,용산아이파크몰6F,용산구,서울특별시 용산구 한강대로23길 55,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,신용산역,용산구,"서울특별시 용산구 한강대로 95 (한강로2가, 래미안용산)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,답십리역,동대문구,서울특별시 동대문구 천호대로 263 (답십리동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,뚝섬역교차로,성동구,서울특별시 성동구 아차산로 6 (성수동1가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,용산아이파크몰1F,용산구,서울특별시 용산구 한강대로23길 55 1층 (한강로3가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,남영동,용산구,서울특별시 용산구 한강대로 275 (갈월동),2.0
num_subway_500m,1.0,1.0,233,0.3421,low,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,서초태우빌딩,서초구,서울특별시 서초구 강남대로 285 (서초동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,양재하나로마트,서초구,서울특별시 서초구 청계산로 10 (양재동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,대륭서초타워,서초구,서울특별시 서초구 강남대로 327 (서초동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,서이초교사거리,서초구,서울특별시 서초구 사임당로 143 (서초동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,연희DT,서대문구,서울특별시 서대문구 연희로 144 (연희동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,남가좌사거리,서대문구,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,연희동,서대문구,서울특별시 서대문구 연희로 79 (연희동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,방배,서초구,서울특별시 서초구 방배로 211,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,방배카페거리,서초구,서울특별시 서초구 방배중앙로 162 (방배동),0.0
