feature,rank_type,rank,상호명,시군구명,도로명주소,value
cafe_count_1000m,top,9,무교동,중구,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,804.0
cafe_count_1000m,top,10,을지로2가,중구,서울특별시 중구 삼일대로 358 (을지로2가),799.0
cafe_count_1000m,bottom,1,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),5.0
cafe_count_1000m,bottom,2,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),13.0
cafe_count_1000m,bottom,3,강동강일,강동구,서울특별시 강동구 아리수로93나길 54 (강일동),16.0
cafe_count_1000m,bottom,4,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),18.0
cafe_count_1000m,bottom,5,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),19.0
cafe_count_1000m,bottom,6,서울안토,강북구,서울특별시 강북구 삼양로 689 (우이동) 지하1층,22.0
cafe_count_1000m,bottom,7,청계산입구역,서초구,서울특별시 서초구 청계산로 203 (신원동),22.0
cafe_count_1000m,bottom,8,종로평창동,종로구,서울특별시 종로구 평창12길 3 (평창동),25.0
cafe_count_1000m,bottom,9,이촌,용산구,서울특별시 용산구 이촌로 276 (이촌동),25.0
cafe_count_1000m,bottom,10,구파발사거리,은평구,서울특별시 은평구 진관3로 21 은평엘크루 101동 105-108호,32.0
dist_nearest_starbucks,top,1,종로평창동,종로구,서울특별시 종로구 평창12길 3 (평창동),2.638043
dist_nearest_starbucks,top,2,청계산입구역,서초구,서울특별시 서초구 청계산로 203 (신원동),2.031476
dist_nearest_starbucks,top,3,홍제역,서대문구,서울특별시 서대문구 통일로 451 (홍제동),1.795753
dist_nearest_starbucks,top,4,강동강일,강동구,서울특별시 강동구 아리수로93나길 54 (강일동),1.641649
dist_nearest_starbucks,top,5,송파위례,송파구,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)",1.532469
dist_nearest_starbucks,top,6,서울안토,강북구,서울특별시 강북구 삼양로 689 (우이동) 지하1층,1.499194
dist_nearest_starbucks,top,7,덕성여대,도봉구,서울특별시 도봉구 삼양로 536 (쌍문동),1.499194
dist_nearest_starbucks,top,8,이케아강동,강동구,서울특별시 강동구 고덕비즈밸리로 51 (고덕동),1.349175
dist_nearest_starbucks,top,9,신림녹두거리,관악구,"서울특별시 관악구 신림로 99 (신림동, 센터스퀘어 서울대점)",1.33492
dist_nearest_starbucks,top,10,망원한강공원,마포구,서울특별시 마포구 마포나루길 435 (망원동),1.312935
dist_nearest_starbucks,bottom,1,타임스퀘어2F,영등포구,서울특별시 영등포구 영중로 15 지상2층 (영등포동4가),0.009603
