상호명,브랜드,is_starbucks,위도,경도,시군구명,도로명주소,dist_nearest_subway,num_subway_500m,nearest_subway_ridership,num_bus_stops_300m,subway_morning_peak_500m,subway_lunch_peak_500m,subway_evening_peak_500m,num_restaurants_500m,num_retail_500m,num_convenience_500m,independent_cafe_count_500m,low_price_cafe_count_500m,other_franchise_cafe_count_500m,dist_nearest_starbucks,avg_income,num_offices,living_population,land_price
성대입구,스타벅스,1,37.582892,126.998392,종로구,서울특별시 종로구 창경궁로 235 (명륜3가),0.3104,1,78724.0,10,335338.0,372353.0,867755.0,619,220,25,107,1,9,0.337393,3333112.0,4377.0,29901.0,3017920.0
스페이스본,스타벅스,1,37.57493108,126.9692173,종로구,서울특별시 종로구 사직로8길 4 (사직동) 광화문 풍림스페이스본,0.3911,1,54206.0,9,635608.0,491865.0,1078618.0,666,225,14,107,4,2,0.394586,5007768.0,45215.0,24407.0,3573998.0
주얼리시티,스타벅스,1,37.57148292,126.9986666,종로구,서울특별시 종로구 종로 183 (인의동) 효성주얼리시티,0.2872,1,48984.0,9,331661.0,343996.0,673449.0,553,1146,22,95,4,6,0.186891,3245251.0,109733.0,60219.0,8739972.0
종각,스타벅스,1,37.57001689,126.9845035,종로구,서울특별시 종로구 종로 64 (종로2가),0.1402,2,77447.0,16,1180746.0,644299.0,1881218.0,1604,1069,76,241,12,27,0.130542,3245251.0,109733.0,60219.0,37882535.0
동숭로아트,스타벅스,1,37.582969,127.003876,종로구,서울특별시 종로구 동숭길 110 (동숭동),0.1924,1,78724.0,7,335338.0,372353.0,867755.0,612,220,22,122,3,10,0.158701,3024996.0,1632.0,32129.0,4859822.0
종로관철,스타벅스,1,37.5691386,126.9859328,종로구,"서울특별시 종로구 종로12길 21, 2층 (관철동)",0.2886,2,77447.0,16,1180746.0,644299.0,1881218.0,1382,920,76,207,11,21,0.159394,3245251.0,109733.0,60219.0,28097391.0
경복궁역,스타벅스,1,37.5771508,126.9727453,종로구,"서울특별시 종로구 자하문로4길 6, 1층 (통의동)",0.1692,1,54206.0,11,635608.0,491865.0,1078618.0,725,303,16,131,3,2,0.239068,5007768.0,45215.0,24407.0,6032843.0
이마빌딩,스타벅스,1,37.5738637,126.9789715,종로구,서울특별시 종로구 종로1길 42 (수송동),0.3047,1,68425.0,6,1064139.0,527525.0,1583339.0,845,401,29,155,6,9,0.157393,3245251.0,109733.0,60219.0,11773694.0
마로니에공원,스타벅스,1,37.58154296,127.0023412,종로구,"서울특별시 종로구 대학로 116, 1-2층 (동숭동)",0.0985,1,78724.0,6,335338.0,372353.0,867755.0,667,216,25,126,4,10,0.104868,3055808.0,1906.0,31906.0,4859822.0
종로3가,스타벅스,1,37.57056486,126.990217,종로구,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)",0.1434,2,105865.0,11,925679.0,846963.0,1935339.0,1355,1233,61,164,8,12,0.16867,3245251.0,109733.0,60219.0,28002106.0
대학로,스타벅스,1,37.57649164,127.001471,종로구,"서울특별시 종로구 대학로 57, 홍익대학교 대학로캠퍼스 內 (연건동)",0.6198,0,48984.0,13,0.0,0.0,0.0,308,175,17,72,3,7,0.136034,3024996.0,1632.0,32129.0,5289147.0
경복궁사거리,스타벅스,1,37.57561594,126.9802374,종로구,"서울특별시 종로구 율곡로 6, B동 101호(중학동, 트윈트리타워)",0.4686,1,59031.0,5,316405.0,258620.0,567629.0,540,394,14,109,3,7,0.111932,3245251.0,109733.0,60219.0,6147860.0
종로관수,스타벅스,1,37.56971102,126.9886352,종로구,서울특별시 종로구 삼일대로20길 13 (관수동),0.31,2,105865.0,14,925679.0,846963.0,1935339.0,1531,1216,70,192,11,20,0.16867,3245251.0,109733.0,60219.0,15184826.0
그랑서울,스타벅스,1,37.57078677,126.9812094,종로구,서울특별시 종로구 종로 33 (청진동),0.1663,2,77447.0,11,1598854.0,822452.0,2441887.0,1337,660,58,209,11,20,0.109159,3245251.0,109733.0,60219.0,17119888.0
광화문교보문고,스타벅스,1,37.571017,126.977937,종로구,서울특별시 종로구 종로 1 (종로1가),0.0881,2,68425.0,18,1598854.0,822452.0,2441887.0,1102,370,44,177,8,15,0.112844,3245251.0,109733.0,60219.0,26062952.0
광장마켓,스타벅스,1,37.57020712,127.0002066,종로구,서울특별시 종로구 창경궁로 88 (예지동),0.1654,2,48984.0,12,500403.0,465644.0,958045.0,614,1239,20,85,5,7,0.196332,3245251.0,109733.0,60219.0,13815813.0
KT광화문웨스트B1F,스타벅스,1,37.5721422,126.9779548,종로구,서울특별시 종로구 세종대로 178 (세종로),0.0974,2,68425.0,11,1598854.0,822452.0,2441887.0,987,372,40,160,7,14,0.039776,3245251.0,109733.0,60219.0,25932880.0
정동,스타벅스,1,37.56866486,126.9700207,종로구,서울특별시 종로구 새문안로 42 (신문로2가),0.4383,1,37452.0,9,316228.0,124373.0,366655.0,419,148,21,85,8,5,0.209025,5007768.0,45215.0,24407.0,6989022.0
종로플레이스,스타벅스,1,37.57305,126.9979,종로구,서울특별시 종로구 창경궁로 120 (인의동),0.4206,1,48984.0,6,247837.0,294481.0,548928.0,448,1029,22,88,4,7,0.186891,3245251.0,109733.0,60219.0,8739972.0
강북삼성병원1층,스타벅스,1,37.568546,126.96756,종로구,서울특별시 종로구 새문안로 29 (평동) A관 1층,0.3188,1,37452.0,15,316228.0,124373.0,366655.0,410,166,21,66,6,5,0.060013,4616890.0,870.0,8010.0,8628198.0
동숭길입구,스타벅스,1,37.584191,127.001859,종로구,서울특별시 종로구 대학로 146 (혜화동),0.2063,1,78724.0,13,335338.0,372353.0,867755.0,704,260,25,135,3,9,0.192642,3333112.0,4377.0,29901.0,4879672.0
서울대치과병원,스타벅스,1,37.577331,127.000348,종로구,서울특별시 종로구 대학로 101 서울대학교 치과병원 신관1층,0.5719,0,78724.0,17,0.0,0.0,0.0,262,139,19,58,2,5,0.136034,3024996.0,1632.0,32129.0,6147860.0
서대문적십자,스타벅스,1,37.56678782,126.9673049,종로구,서울특별시 종로구 새문안로 9 (평동) 서울적십자병원 별관 상가동 1층 B호,0.1271,1,37452.0,23,316228.0,124373.0,366655.0,494,164,27,81,6,8,0.105703,4616890.0,870.0,8010.0,8628198.0
리저브광화문,스타벅스,1,37.57242596,126.97768,종로구,서울특별시 종로구 세종대로 178 (세종로),0.1098,1,68425.0,10,1064139.0,527525.0,1583339.0,972,355,39,159,8,13,0.039776,3245251.0,109733.0,60219.0,25932880.0
서대문역,스타벅스,1,37.56687533,126.9661107,종로구,서울특별시 종로구 통일로 134 (평동),0.1312,1,37452.0,27,316228.0,124373.0,366655.0,479,176,28,76,5,8,0.105703,4616890.0,870.0,8010.0,8628198.0
숭례문북창,스타벅스,1,37.561725,126.976838,중구,서울특별시 중구 세종대로12길 12 (남대문로4가),0.3295,2,101816.0,19,1449480.0,1037565.0,2275615.0,940,2255,64,167,8,18,0.084363,5380521.0,92258.0,25000.0,23412993.0
을지로4가역,스타벅스,1,37.56634407,126.9975325,중구,서울특별시 중구 을지로 170 (을지로4가),0.0781,2,42644.0,7,411326.0,248089.0,642931.0,628,995,34,102,4,7,0.489962,3082514.0,17430.0,15867.0,13010529.0
동대문두타,스타벅스,1,37.5691,127.0088,중구,서울특별시 중구 장충단로 275 (을지로6가),0.2713,2,67896.0,9,1008387.0,1068060.0,2383826.0,708,1866,35,95,7,12,0.185605,3229604.0,52971.0,23918.0,13894676.0
대한상공회의소R,스타벅스,1,37.560938,126.973702,중구,서울특별시 중구 세종대로 39 (남대문로4가) 1층,0.47,2,101816.0,19,1145637.0,863009.0,1817034.0,847,1647,53,147,5,17,0.073249,5380521.0,92258.0,25000.0,23412993.0
국립중앙의료원,스타벅스,1,37.566516,127.0062376,중구,서울특별시 중구 을지로 251 (을지로6가),0.1859,1,80689.0,13,782816.0,686061.0,1768400.0,642,1642,39,83,5,10,0.175244,3229604.0,52971.0,23918.0,13894676.0
동국대,스타벅스,1,37.561542,126.998437,중구,서울특별시 중구 서애로 1길 11,0.3852,1,66226.0,4,409227.0,242287.0,637405.0,591,451,48,88,3,6,0.49486,3033044.0,16151.0,13984.0,10314778.0
동대문공원,스타벅스,1,37.565133,127.007191,중구,서울특별시 중구 장충단로 229 (광희동1가),0.0211,1,80689.0,13,782816.0,686061.0,1768400.0,556,1363,42,70,4,8,0.071788,3229604.0,52971.0,23918.0,8608346.0
을지로국제빌딩,스타벅스,1,37.566952,126.982219,중구,서울특별시 중구 남대문로 109 (다동),0.1101,2,104707.0,13,1542693.0,836110.0,2401919.0,1304,1080,70,201,13,21,0.089518,3733600.0,120704.0,38841.0,24994005.0
동대입구역,스타벅스,1,37.55968044,127.0062029,중구,서울특별시 중구 장충단로 166 (장충동1가),0.0877,1,26274.0,7,134708.0,107622.0,231186.0,222,177,20,44,0,1,0.18084,2895026.0,4450.0,10800.0,6258636.0
신당역사거리,스타벅스,1,37.565807,127.01643,중구,서울특별시 중구 다산로 258 (흥인동),0.1282,1,49516.0,7,285000.0,197260.0,480359.0,788,896,33,68,4,5,0.188538,2816850.0,4203.0,19423.0,8511033.0
연세세브란스,스타벅스,1,37.557207,126.97354,중구,서울특별시 중구 통일로 10 (남대문로5가),0.1763,3,238671.0,21,1675579.0,1378580.0,2901654.0,602,1236,40,120,4,13,0.120777,4442451.0,69985.0,26810.0,12052016.0
회현역,스타벅스,1,37.55947243,126.9807255,중구,서울특별시 중구 퇴계로 72 (회현동) 리더스뷰남산,0.2432,1,58760.0,12,692106.0,685370.0,1237527.0,766,2419,46,143,6,10,0.093695,4442451.0,69985.0,26810.0,10314778.0
을지로경기빌딩,스타벅스,1,37.56707722,126.9832223,중구,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,0.1297,2,104707.0,13,1180746.0,644299.0,1881218.0,1358,1136,85,216,11,26,0.089518,3733600.0,120704.0,38841.0,26737898.0
