district,n_cafe,n_starbucks,lat,lon,share_C0,share_C1,share_C2,share_C3,share_C4,dominant_sigungu,dominant_persona,dominant_persona_name,persona_entropy,sb_core_share,weak_access_share,score,score_pct,has_starbucks,score_decile
110,7,0,37.591866145714285,126.92220717142857,0.0,0.0,0.0,0.0,1.0,은평구,C4,C4 비역세권,-0.0,0.0,1.0,0.5208690476190477,53.52941176470589,0,D6
108,11,0,37.60946317727273,127.02177379999999,0.0,0.0,0.0,0.0,1.0,성북구,C4,C4 비역세권,-0.0,0.0,1.0,0.5097623015873015,52.94117647058824,0,D6
116,9,0,37.620531336666666,127.10413709999999,0.0,0.0,0.0,0.0,1.0,중랑구,C4,C4 비역세권,-0.0,0.0,1.0,0.5041740740740741,52.352941176470594,0,D6
40,22,1,37.46323476,127.03578252727272,0.0,0.0,0.09090909090909091,0.0,0.9090909090909091,서초구,C4,C4 비역세권,0.1892810496109844,0.0,0.9090909090909091,0.5015452380952381,51.76470588235295,1,D6
109,12,0,37.47059824583334,127.02653364999999,0.0,0.0,0.0,0.0,1.0,서초구,C4,C4 비역세권,-0.0,0.0,1.0,0.498749531024531,51.17647058823529,0,D6
42,10,1,37.462636904,127.02527298,0.0,0.0,0.0,0.0,1.0,서초구,C4,C4 비역세권,-0.0,0.0,1.0,0.4983579966329967,50.588235294117645,1,D6
79,18,2,37.519790602777775,126.97473577222223,0.0,0.0,0.7222222222222222,0.0,0.2777777777777778,용산구,C2,C2 주거생활,0.3671109284246932,0.0,0.2777777777777778,0.4971373015873015,50.0,1,D5
60,7,1,37.656313014285715,126.94794322857142,0.0,0.0,0.0,0.0,1.0,은평구,C4,C4 비역세권,-0.0,0.0,1.0,0.4879595358345359,49.41176470588236,1,D5
127,10,0,37.54769572,127.13486829000001,0.0,0.0,0.0,0.0,1.0,강동구,C4,C4 비역세권,-0.0,0.0,1.0,0.4866230158730157,48.8235294117647,0,D5
93,42,0,37.51261565452381,126.92200162380952,0.0,0.0,0.7857142857142857,0.0,0.21428571428571427,영등포구,C2,C2 주거생활,0.3228331053446524,0.0,0.21428571428571427,0.4865869047619048,48.23529411764706,0,D5
34,79,1,37.59144845607595,126.94597072531646,0.0,0.0,0.6329113924050633,0.0,0.3670886075949367,서대문구,C2,C2 주거생활,0.4084581221257883,0.0,0.3670886075949367,0.483224603174603,47.647058823529406,1,D5
70,64,1,37.50371687203125,126.8623460515625,0.0,0.0,0.203125,0.0,0.796875,구로구,C4,C4 비역세권,0.3135903473808379,0.0,0.796875,0.4831722222222222,47.05882352941176,1,D5
53,31,1,37.51563350580645,126.86188404838711,0.0,0.0,0.3548387096774194,0.0,0.6451612903225806,양천구,C4,C4 비역세권,0.40411042628730715,0.0,0.6451612903225806,0.4785705026455026,46.47058823529412,1,D5
90,8,0,37.543234595,127.003007075,0.0,0.0,0.125,0.0,0.875,용산구,C4,C4 비역세권,0.23410046348828253,0.0,0.875,0.4782992063492063,45.88235294117647,0,D5
133,16,0,37.554651748124996,127.1351636,0.0,0.0,0.6875,0.0,0.3125,강동구,C2,C2 주거생활,0.38590266189014977,0.0,0.3125,0.47545582010582,45.294117647058826,0,D5
98,6,0,37.494158031666664,127.07891343333334,0.0,0.0,1.0,0.0,0.0,강남구,C2,C2 주거생활,-0.0,0.0,0.0,0.4732579365079365,44.70588235294118,0,D5
87,6,0,37.56551189666667,127.17379723333333,0.0,0.0,0.0,0.0,1.0,강동구,C4,C4 비역세권,-0.0,0.0,1.0,0.4683174186924186,44.11764705882353,0,D5
41,28,1,37.498020569285714,126.99807614999999,0.0,0.0,0.03571428571428571,0.0,0.9642857142857143,서초구,C4,C4 비역세권,0.09573286579163903,0.0,0.9642857142857143,0.4678046296296296,43.52941176470589,1,D5
69,44,2,37.493317829999995,126.8413823840909,0.0,0.0,0.8863636363636364,0.0,0.11363636363636363,구로구,C2,C2 주거생활,0.21998434149563612,0.0,0.11363636363636363,0.4677973544973545,42.94117647058823,1,D5
111,27,0,37.645799591111114,127.00810130370371,0.0,0.0,0.2962962962962963,0.0,0.7037037037037037,강북구,C4,C4 비역세권,0.37758115375316725,0.0,0.7037037037037037,0.4649190476190475,42.35294117647059,0,D5
99,30,0,37.502107409333334,126.84829771,0.0,0.0,0.0,0.0,1.0,구로구,C4,C4 비역세권,-0.0,0.0,1.0,0.46033605006105,41.76470588235294,0,D5
129,10,0,37.560941153,127.04755895000001,0.0,0.0,1.0,0.0,0.0,성동구,C2,C2 주거생활,-0.0,0.0,0.0,0.4545345238095237,41.17647058823529,0,D5
102,24,0,37.635191329166666,127.07296430000001,0.0,0.0,0.5833333333333334,0.0,0.4166666666666667,노원구,C2,C2 주거생활,0.42200650347817364,0.0,0.4166666666666667,0.4533075396825397,40.588235294117645,0,D5
120,13,0,37.46638641384615,126.94887423076923,0.0,0.0,0.0,0.0,1.0,관악구,C4,C4 비역세권,-0.0,0.0,1.0,0.4455522486772487,40.0,0,D4
123,21,0,37.59558653285714,126.96461269523809,0.0,0.0,0.0,0.0,1.0,종로구,C4,C4 비역세권,-0.0,0.0,1.0,0.4435231074481074,39.41176470588236,0,D4
49,13,1,37.515304968461535,127.13118125384615,0.0,0.0,1.0,0.0,0.0,송파구,C2,C2 주거생활,-0.0,0.0,0.0,0.4357884920634919,38.82352941176471,1,D4
144,8,0,37.5019365375,126.987736525,0.0,0.0,1.0,0.0,0.0,서초구,C2,C2 주거생활,-0.0,0.0,0.0,0.4278212000962,38.23529411764706,0,D4
130,5,0,37.572410914,126.83271678000001,0.0,0.0,0.0,0.0,1.0,강서구,C4,C4 비역세권,-0.0,0.0,1.0,0.426522619047619,37.64705882352941,0,D4
160,9,0,37.49175208888889,127.07468875555554,0.0,0.0,1.0,0.0,0.0,강남구,C2,C2 주거생활,-0.0,0.0,0.0,0.4203473544973545,37.05882352941177,0,D4
166,10,0,37.612341759,127.10184745,0.0,0.0,1.0,0.0,0.0,중랑구,C2,C2 주거생활,-0.0,0.0,0.0,0.4182345238095237,36.47058823529412,0,D4
92,6,0,37.5545003,127.04661549999999,0.0,0.0,1.0,0.0,0.0,성동구,C2,C2 주거생활,-0.0,0.0,0.0,0.416288492063492,35.88235294117647,0,D4
82,11,1,37.60856327363636,127.10755152727273,0.0,0.0,0.8181818181818182,0.0,0.18181818181818182,중랑구,C2,C2 주거생활,0.2945993190509307,0.0,0.18181818181818182,0.4153031746031746,35.294117647058826,1,D4
45,31,1,37.618014236451614,127.04717225806452,0.0,0.0,0.0,0.0,1.0,성북구,C4,C4 비역세권,-0.0,0.0,1.0,0.4107805555555556,34.705882352941174,1,D4
66,27,2,37.557579295555556,127.17120602962963,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,강동구,C2,C2 주거생활,0.2167415674429225,0.0,0.1111111111111111,0.409945238095238,34.11764705882353,1,D4
5,20,1,37.4652937915,127.099767415,0.0,0.0,0.0,0.0,1.0,강남구,C4,C4 비역세권,-0.0,0.0,1.0,0.4081653392903393,33.52941176470588,1,D4
38,32,1,37.44919014125,127.058639240625,0.0,0.0,0.625,0.0,0.375,서초구,C2,C2 주거생활,0.4110523512879347,0.0,0.375,0.4033922198172198,32.94117647058823,1,D4
89,10,0,37.52130158600001,127.10491933,0.0,0.0,1.0,0.0,0.0,송파구,C2,C2 주거생활,-0.0,0.0,0.0,0.3992940476190476,32.35294117647059,0,D4
112,7,0,37.51619256,127.0759448,0.0,0.0,0.0,0.0,1.0,송파구,C4,C4 비역세권,-0.0,0.0,1.0,0.3976327681577681,31.76470588235294,0,D4
107,10,0,37.610373795,127.01466672000001,0.0,0.0,0.2,0.0,0.8,성북구,C4,C4 비역세권,0.31091750708257115,0.0,0.8,0.3975218253968254,31.176470588235293,0,D4
153,11,0,37.49488600454545,126.8747288909091,0.0,0.0,0.6363636363636364,0.0,0.36363636363636365,구로구,C2,C2 주거생활,0.40727372509204013,0.0,0.36363636363636365,0.3941325637325635,30.58823529411765,0,D4
169,6,1,37.52874107333333,126.99213895000001,0.0,0.0,0.0,0.0,1.0,용산구,C4,C4 비역세권,-0.0,0.0,1.0,0.3908671347171347,30.0,1,D3
